dataset,metric,threshold,similarity
pvivax,EgoRatio,0.23,0.9523809523809524
pvivax,EgoRatio,0.24,0.9523809523809524
pvivax,EgoRatio,0.25,0.9523809523809524
pvivax,EgoRatio,0.26,0.9523809523809524
pvivax,EgoRatio,0.27,0.9523809523809524
pvivax,EgoRatio,0.28,0.9523809523809524
pvivax,EgoRatio,0.29,0.9523809523809524
pvivax,EgoRatio,0.3,0.9523809523809524
pvivax,EgoRatio,0.31,0.9523809523809524
pvivax,EgoRatio,0.32,0.9523809523809524
pvivax,EgoRatio,0.33,0.9523809523809524
pvivax,EgoRatio,0.34,0.9523809523809524
pvivax,EgoRatio,0.35,0.9523809523809524
pvivax,EgoRatio,0.36,0.9523809523809524
pvivax,EgoRatio,0.37,0.9523809523809524
pvivax,EgoRatio,0.38,0.9523809523809524
pvivax,EgoRatio,0.39,0.9523809523809524
pvivax,EgoRatio,0.4,0.9523809523809524
pvivax,EgoRatio,0.41,0.9523809523809524
pvivax,EgoRatio,0.42,0.9523809523809524
pvivax,EgoRatio,0.43,0.9523809523809524
pvivax,EgoRatio,0.44,0.9523809523809524
pvivax,EgoRatio,0.45,0.9523809523809524
pvivax,EgoRatio,0.46,0.9523809523809524
pvivax,EgoRatio,0.47,0.9523809523809524
pvivax,EgoRatio,0.48,0.9523809523809524
pvivax,EgoRatio,0.49,0.9523809523809524
pvivax,EgoRatio,0.5,0.9523809523809524
pvivax,EgoRatio,0.51,0.9831029185867897
pvivax,EgoRatio,0.52,0.9831029185867897
pvivax,EgoRatio,0.53,0.9831029185867897
pvivax,EgoRatio,0.54,0.9831029185867897
pvivax,EgoRatio,0.55,1.0
pvivax,EgoRatio,0.56,1.0
pvivax,EgoRatio,0.57,1.0
pvivax,EgoRatio,0.58,1.0
pvivax,EgoRatio,0.59,1.0
pvivax,EgoRatio,0.6,1.0
pvivax,EgoRatio,0.61,1.0
pvivax,EgoRatio,0.62,1.0
pvivax,EgoRatio,0.63,1.0
pvivax,EgoRatio,0.64,1.0
pvivax,EgoRatio,0.65,1.0
pvivax,EgoRatio,0.66,1.0
pvivax,EgoRatio,0.72,1.0
pvivax,EgoRatio,0.73,1.0
pvivax,EgoRatio,0.74,1.0
pvivax,EgoRatio,0.75,1.0
pvivax,EgoRatio,0.76,1.0
pvivax,EgoRatio,0.77,1.0
pvivax,EgoRatio,0.78,1.0
pvivax,EgoRatio,0.71,1.0
pvivax,EgoRatio,0.79,1.0
pvivax,EgoRatio,0.8,1.0
pvivax,EgoRatio,0.81,1.0
pvivax,EgoRatio,0.82,1.0
pvivax,EgoRatio,0.7,1.0
pvivax,EgoRatio,0.83,1.0
pvivax,EgoRatio,0.67,1.0
pvivax,EgoRatio,0.69,1.0
pvivax,EgoRatio,0.68,1.0
pvivax,EgoRatio,0.84,1.0
pvivax,EgoRatio,0.85,1.0
pvivax,EgoRatio,0.86,1.0
pvivax,EgoRatio,0.87,1.0
pvivax,EgoRatio,0.99,1.0
pvivax,EgoRatio,0.88,1.0
pvivax,EgoRatio,0.98,1.0
pvivax,EgoRatio,0.95,1.0
pvivax,EgoRatio,0.97,1.0
pvivax,EgoRatio,0.96,1.0
pvivax,EgoRatio,0.94,1.0
pvivax,EgoRatio,0.93,1.0
pvivax,EgoRatio,0.92,1.0
pvivax,EgoRatio,0.91,1.0
pvivax,EgoRatio,0.19,0.860215053763441
pvivax,EgoRatio,0.9,1.0
pvivax,EgoRatio,0.89,1.0
pvivax,EgoRatio,0.18,0.8294930875576038
pvivax,EgoRatio,0.17,0.8294930875576038
pvivax,EgoRatio,0.16,0.7680491551459294
pvivax,EgoRatio,0.15,0.4301075268817205
pvivax,LocalClustering,0.2,0.09216589861751152
pvivax,LocalClustering,0.21,0.09216589861751152
pvivax,LocalClustering,0.22,0.09216589861751152
pvivax,LocalClustering,0.23,0.09216589861751152
pvivax,LocalClustering,0.24,0.09216589861751152
pvivax,LocalClustering,0.25,0.09216589861751152
pvivax,LocalClustering,0.26,0.09216589861751152
pvivax,LocalClustering,0.27,0.09216589861751152
pvivax,LocalClustering,0.28,0.09216589861751152
pvivax,LocalClustering,0.29,0.09216589861751152
pvivax,LocalClustering,0.3,0.09216589861751152
pvivax,LocalClustering,0.31,0.09216589861751152
pvivax,LocalClustering,0.32,0.09216589861751152
pvivax,LocalClustering,0.33,0.09216589861751152
pvivax,LocalClustering,0.34,0.09216589861751152
pvivax,LocalClustering,0.35,0.09216589861751152
pvivax,LocalClustering,0.36,0.09216589861751152
pvivax,LocalClustering,0.37,0.09216589861751152
pvivax,LocalClustering,0.38,0.12288786482334871
pvivax,LocalClustering,0.39,0.12288786482334871
pvivax,LocalClustering,0.4,0.12288786482334871
pvivax,LocalClustering,0.41,0.12288786482334871
pvivax,LocalClustering,0.42,0.12288786482334871
pvivax,LocalClustering,0.43,0.12288786482334871
pvivax,LocalClustering,0.44,0.12288786482334871
pvivax,LocalClustering,0.45,0.12288786482334871
pvivax,LocalClustering,0.46,0.12288786482334871
pvivax,LocalClustering,0.47,0.12288786482334871
pvivax,LocalClustering,0.48,0.12288786482334871
pvivax,LocalClustering,0.49,0.12288786482334871
pvivax,LocalClustering,0.5,0.12288786482334871
pvivax,LocalClustering,0.51,0.15360983102918588
pvivax,LocalClustering,0.52,0.15360983102918588
pvivax,LocalClustering,0.53,0.15360983102918588
pvivax,LocalClustering,0.54,0.15360983102918588
pvivax,LocalClustering,0.55,0.15360983102918588
pvivax,LocalClustering,0.56,0.15360983102918588
pvivax,LocalClustering,0.57,0.15360983102918588
pvivax,LocalClustering,0.58,0.15360983102918588
pvivax,LocalClustering,0.59,0.18433179723502305
pvivax,LocalClustering,0.6,0.21505376344086025
pvivax,LocalClustering,0.61,0.30721966205837176
pvivax,LocalClustering,0.62,0.4301075268817205
pvivax,LocalClustering,0.63,0.46082949308755766
pvivax,LocalClustering,0.64,0.46082949308755766
pvivax,LocalClustering,0.65,0.49155145929339483
pvivax,LocalClustering,0.66,0.49155145929339483
pvivax,LocalClustering,0.72,0.5529953917050692
pvivax,LocalClustering,0.73,0.5529953917050692
pvivax,LocalClustering,0.74,0.5529953917050692
pvivax,LocalClustering,0.75,0.5529953917050692
pvivax,LocalClustering,0.76,0.5529953917050692
pvivax,LocalClustering,0.77,0.5529953917050692
pvivax,LocalClustering,0.78,0.5837173579109064
pvivax,LocalClustering,0.71,0.5529953917050692
pvivax,LocalClustering,0.79,0.6144393241167435
pvivax,LocalClustering,0.8,0.6758832565284179
pvivax,LocalClustering,0.81,0.7066052227342551
pvivax,LocalClustering,0.82,0.6758832565284179
pvivax,LocalClustering,0.7,0.522273425499232
pvivax,LocalClustering,0.83,0.7373271889400922
pvivax,LocalClustering,0.67,0.49155145929339483
pvivax,LocalClustering,0.69,0.522273425499232
pvivax,LocalClustering,0.68,0.49155145929339483
pvivax,LocalClustering,0.84,0.7373271889400922
pvivax,LocalClustering,0.85,0.8294930875576038
pvivax,LocalClustering,0.86,0.8294930875576038
pvivax,LocalClustering,0.87,0.8294930875576038
pvivax,LocalClustering,0.99,0.15360983102918588
pvivax,LocalClustering,0.88,0.860215053763441
pvivax,LocalClustering,0.98,0.15360983102918588
pvivax,LocalClustering,0.95,0.46082949308755766
pvivax,LocalClustering,0.97,0.39938556067588327
pvivax,LocalClustering,0.96,0.4301075268817205
pvivax,LocalClustering,0.94,0.39938556067588327
pvivax,LocalClustering,0.93,0.5529953917050692
pvivax,LocalClustering,0.92,0.5837173579109064
pvivax,LocalClustering,0.91,0.6758832565284179
pvivax,LocalClustering,0.19,0.09216589861751152
pvivax,LocalClustering,0.9,0.6758832565284179
pvivax,LocalClustering,0.89,0.8294930875576038
pvivax,LocalClustering,0.18,0.09216589861751152
pvivax,LocalClustering,0.17,0.09216589861751152
pvivax,LocalClustering,0.16,0.061443932411674354
pvivax,LocalClustering,0.15,0.061443932411674354
pvivax,PageRank,0.2,0.3379416282642089
pvivax,PageRank,0.21,0.3379416282642089
pvivax,PageRank,0.22,0.3379416282642089
pvivax,PageRank,0.23,0.3379416282642089
pvivax,PageRank,0.24,0.3379416282642089
pvivax,PageRank,0.25,0.39938556067588327
pvivax,PageRank,0.26,0.3686635944700461
pvivax,PageRank,0.27,0.3686635944700461
pvivax,PageRank,0.28,0.4301075268817205
pvivax,PageRank,0.29,0.4301075268817205
pvivax,PageRank,0.3,0.4301075268817205
pvivax,PageRank,0.31,0.4301075268817205
pvivax,PageRank,0.32,0.4301075268817205
pvivax,PageRank,0.33,0.4301075268817205
pvivax,PageRank,0.34,0.4301075268817205
pvivax,PageRank,0.35,0.4301075268817205
pvivax,PageRank,0.36,0.4301075268817205
pvivax,PageRank,0.37,0.4301075268817205
pvivax,PageRank,0.38,0.4301075268817205
pvivax,PageRank,0.39,0.4301075268817205
pvivax,PageRank,0.4,0.46082949308755766
pvivax,PageRank,0.41,0.522273425499232
pvivax,PageRank,0.42,0.5837173579109064
pvivax,PageRank,0.43,0.5837173579109064
pvivax,PageRank,0.44,0.5837173579109064
pvivax,PageRank,0.45,0.5837173579109064
pvivax,PageRank,0.46,0.5837173579109064
pvivax,PageRank,0.47,0.6144393241167435
pvivax,PageRank,0.48,0.6451612903225807
pvivax,PageRank,0.49,0.6451612903225807
pvivax,PageRank,0.5,0.6451612903225807
pvivax,PageRank,0.51,0.6144393241167435
pvivax,PageRank,0.52,0.6758832565284179
pvivax,PageRank,0.53,0.6758832565284179
pvivax,PageRank,0.54,0.6758832565284179
pvivax,PageRank,0.55,0.6758832565284179
pvivax,PageRank,0.56,0.6758832565284179
pvivax,PageRank,0.57,0.6758832565284179
pvivax,PageRank,0.58,0.7066052227342551
pvivax,PageRank,0.59,0.7680491551459294
pvivax,PageRank,0.6,0.7680491551459294
pvivax,PageRank,0.61,0.7373271889400922
pvivax,PageRank,0.62,0.7680491551459294
pvivax,PageRank,0.63,0.7987711213517665
pvivax,PageRank,0.64,0.7987711213517665
pvivax,PageRank,0.65,0.8294930875576038
pvivax,PageRank,0.66,0.8294930875576038
pvivax,PageRank,0.72,0.9523809523809524
pvivax,PageRank,0.73,0.9831029185867897
pvivax,PageRank,0.74,0.9831029185867897
pvivax,PageRank,0.75,1.0
pvivax,PageRank,0.76,0.9831029185867897
pvivax,PageRank,0.77,0.9831029185867897
pvivax,PageRank,0.78,0.9831029185867897
pvivax,PageRank,0.71,0.9216589861751153
pvivax,PageRank,0.79,0.9831029185867897
pvivax,PageRank,0.8,0.9523809523809524
pvivax,PageRank,0.81,1.0
pvivax,PageRank,0.82,0.9523809523809524
pvivax,PageRank,0.7,0.9216589861751153
pvivax,PageRank,0.83,0.9523809523809524
pvivax,PageRank,0.67,0.8294930875576038
pvivax,PageRank,0.69,0.8909370199692781
pvivax,PageRank,0.68,0.8909370199692781
pvivax,PageRank,0.84,0.9523809523809524
pvivax,PageRank,0.85,0.9216589861751153
pvivax,PageRank,0.86,0.8909370199692781
pvivax,PageRank,0.87,0.860215053763441
pvivax,PageRank,0.99,0.2764976958525346
pvivax,PageRank,0.88,0.8294930875576038
pvivax,PageRank,0.98,0.39938556067588327
pvivax,PageRank,0.95,0.6144393241167435
pvivax,PageRank,0.97,0.49155145929339483
pvivax,PageRank,0.96,0.6144393241167435
pvivax,PageRank,0.94,0.522273425499232
pvivax,PageRank,0.93,0.5837173579109064
pvivax,PageRank,0.92,0.6144393241167435
pvivax,PageRank,0.91,0.7066052227342551
